BATCH,FASSpecimen,length_cm,Decimal age
14,716,86,1.4583
14,717,90,2.4556
14,718,112,5.5417
14,719,111,3.5222
14,720,90,2.5417
14,721,83,2.5417
14,722,122,4.5750
14,723,140,7.5500
14,724,91,1.5750
14,725,103,2.5611
14,726,106,3.5361
14,727,81,1.5417
14,728,140,6.5222
14,729,96,1.5694
14,730,105,3.5694
14,731,109,3.5111
14,732,126,3.5694
14,733,124,6.5500
14,734,88,1.5611
14,735,111,2.5694
14,736,90,1.5361
14,737,110,3.4556
14,738,85,2.5361
14,739,92,2.5417
14,740,107,3.4583
14,741,105,2.5111
14,742,115,3.7639
14,743,143,8.7750
14,744,124,3.7639
14,745,117,3.7000
14,746,89,1.7139
14,747,94,2.7750
14,748,142,8.7750
14,749,124,4.7139
14,750,96,2.7000
14,751,115,4.7472
14,752,89,1.7750
14,753,85,1.7472
14,754,98,1.7639
14,755,120,3.6250
14,756,138,5.6111
14,757,82,1.6111
14,758,112,2.6306
14,759,117,2.8611
14,760,111,3.8806
14,761,106,2.8222
14,762,89,2.6944
14,763,124,4.8139
14,764,109,2.6750
14,765,121,3.7944
14,766,147,5.6944
14,767,130,4.6500
14,768,107,2.9222
14,769,130,4.9222
14,770,132,4.8222
14,771,119,3.8611
14,772,123,4.9111
14,773,95,2.9278
14,774,119,3.9417
14,775,133,4.9111
14,776,132,5.8139
14,777,135,5.8139
14,778,133,6.8139
14,779,115,3.7944
14,780,110,2.9417
14,781,89,1.6500
14,782,109,3.6889
14,783,119,3.9278
14,784,88,1.7944
14,785,136,5.8667
14,786,123,4.6889
14,788,152,5.6500
14,789,96,1.7944
14,790,147,12.6500
14,791,119,4.6944
14,792,115,2.6500
14,793,110,3.9361
14,794,119,3.6944
14,795,131,4.8222
14,796,89,1.9417
14,797,85,1.9167
14,798,112,2.9417
14,799,110,3.7944
14,800,151,7.9861
14,801,129,3.9667
14,802,128,4.9861
14,803,93,1.9944
14,804,115,3.9667
14,805,116,3.9000
14,806,109,2.9361
14,807,93,1.9972
14,808,98,2.9861
14,809,90,2.0000
14,810,94,1.9944
14,811,93,2.0194
14,812,118,3.9972
14,813,95,2.9750
14,814,95,3.0194
14,815,131,4.9667
14,816,119,3.8806
14,817,89,2.0000
14,818,122,4.9417
14,819,94,2.0194
14,820,115,3.8722
14,821,100,2.9472
14,822,146,8.0000
14,823,127,4.8722
14,824,91,1.9222
14,825,84,1.9611
14,826,93,1.9944
14,827,86,1.9361
14,828,131,6.1389
14,829,145,7.1278
14,830,125,4.9750
14,831,124,4.1389
14,832,88,3.0250
14,833,93,2.0833
14,834,111,3.1389
14,835,125,5.1083
14,836,127,5.1194
14,837,82,2.9972
14,838,117,4.1194
14,839,88,2.0000
14,840,88,2.0333
14,841,129,5.0528
14,842,87,2.0139
14,843,132,6.1083
14,844,120,3.9750
14,845,136,8.1083
14,846,92,2.0528
14,847,87,2.1389
14,848,140,5.9667
14,849,82,1.9972
14,850,94,3.0194
14,852,87,2.0139
14,853,91,3.0333
14,854,93,2.0139
14,855,102,3.1194
14,856,102,2.9611
14,857,107,3.1944
14,858,109,3.2028
14,859,104,3.0528
14,860,103,3.1083
14,861,99,3.1944
14,862,88,2.1472
14,863,111,3.4056
14,864,136,5.4722
14,865,118,4.4056
14,866,101,3.4333
14,867,119,4.2028
14,868,133,2.4333
14,869,110,3.1833
14,870,105,2.4333
14,871,117,4.1472
14,872,107,2.4528
14,873,100,2.3861
14,874,116,4.1389
14,875,135,5.0833
14,876,96,3.2028
14,877,110,3.0528
14,878,86,2.0333
14,879,96,2.1194
14,880,129,7.1833
14,881,126,4.4056
14,882,101,3.1472
14,883,84,2.1472
14,884,100,3.1833
14,885,131,5.4056
14,886,99,3.1833
14,888,108,3.1667
14,889,102,3.1667
14,890,120,4.1944
14,891,115,3.3861
14,892,157,8.0806
14,893,151,7.0806
14,894,59,0.8306
14,895,63,2.0694
14,896,34,0.7917
14,897,39,0.8667
14,898,40,0.8056
14,899,36,0.8694
14,900,134,7.5361
14,903,123,6.1306
14,904,108,3.4083
14,906,117,3.3861
14,907,119,3.6556
14,908,117,3.8750
14,909,88,1.9222
14,910,89,2.0944
14,911,115,5.0944
14,912,90,2.0944
14,913,128,4.3194
14,914,101,4.1583
14,915,130,4.2722
14,916,87,2.1583
14,917,143,6.2139
14,918,109,2.5194
14,919,110,3.5194
14,920,102,2.5278
14,921,117,3.5472
14,922,97,2.5583
14,923,106,3.5583
14,924,106,3.5667
14,925,112,3.2417
14,926,130,4.2528
14,927,108,4.2444
14,928,84,1.2694
14,929,104,2.2694
14,930,57,0.7722
14,931,78,1.7806
14,932,72,1.6417
14,933,118,3.5167
14,934,111,4.4222
14,935,118,3.4222
14,936,100,2.5806
14,937,96,2.5806
14,938,80,1.2972
14,939,90,1.6028
14,940,101,2.6139
14,941,82,1.6139
14,942,107,2.5944
14,943,60,0.3611
14,944,84,1.3722
14,945,61,1.3611
14,946,104,2.5944
14,947,105,2.6028
14,948,113,3.7333
14,949,114,2.8750
14,950,92,1.8861
14,951,73,1.6778
14,952,52,0.8833
14,953,61,0.8944
14,954,57,0.8250
14,955,65,0.8250
14,956,103,2.4194
14,957,48,1.1056
14,958,55,1.1472
14,959,47,0.4444
14,960,56,0.7361
14,961,64,1.7417
14,962,58,0.7389
14,963,60,0.7306
14,964,111,3.7000
14,965,76,2.0833
14,966,79,2.0833
14,967,80,2.0861
14,968,85,2.0972
14,969,93,2.2500
14,970,77,1.6722
14,971,83,2.7083
14,972,76,1.7028
14,973,93,1.9889
14,974,112,2.0417
14,975,96,3.0167
14,976,99,3.0417
14,977,98,2.1972
14,978,65,2.1167
14,979,64,2.1972
14,980,68,2.1972
14,981,68,1.1972
14,982,63,1.2056
14,983,73,1.7917
14,984,46,0.7917
14,985,59,0.7972
14,986,71,1.8000
14,987,79,1.8028
14,988,86,1.8028
14,989,70,1.5000
14,990,88,1.5000
14,991,74,1.5028
14,992,66,1.5500
14,993,44,0.3833
14,994,51,0.3861
14,995,50,0.3917
14,996,42,0.3917
14,997,43,0.3917
14,998,53,0.3944
14,999,82,1.3972
14,1000,74,1.3972
14,1001,54,1.1111
14,1002,49,1.1278
14,1003,67,1.2500
14,1004,99,2.9083
14,1005,115,3.8889
14,1006,91,1.9083
14,1007,94,1.9417
14,1008,95,1.9444
17,1,155,5.9500
17,2,157,5.9528
17,3,160,6.9556
17,4,131,5.9583
17,5,163,7.9611
17,6,159,6.9639
17,7,135,4.9778
17,8,168,7.9806
17,9,170,11.9833
17,10,84,1.9972
17,11,157,7.0139
17,12,148,7.0250
17,13,168,7.0278
17,14,165,10.0472
17,15,158,7.0583
17,16,97,3.0611
17,17,148,5.0722
17,18,94,3.0889
17,19,142,7.0944
17,20,192,11.0944
17,21,98,3.1083
17,22,136,5.8667
17,23,115,3.9722
17,24,122,5.0111
17,25,102,2.0139
17,26,115,4.1667
17,27,143,6.2167
17,28,119,4.2889
17,29,155,7.2722
17,30,135,6.2889
17,31,165,9.3278
17,32,118,3.3500
17,33,126,4.3639
17,34,144,7.3639
17,35,145,5.3722
17,36,143,7.3861
17,37,113,2.3889
17,38,85,2.3944
17,39,145,6.4056
17,40,96,1.4528
17,41,169,12.4722
17,42,118,3.8556
17,43,136,4.8611
17,45,152,6.8778
17,46,189,7.8833
17,47,160,10.8889
17,48,145,6.8889
17,49,124,3.9028
17,50,158,5.9028
17,51,178,10.9056
17,52,158,5.9139
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
